7zip 25.01-1
lame 3.100-6
lapack 3.12.1-2
layer-shell-qt 6.5.4-1
lazygit 0.58.0-1
lcms2 2.17-1
ldb 2:4.23.4-1
ldns 1.9.0-1
leancrypto 1.6.0-1
lensfun 1:0.3.4-5
less 1:685-1
level-zero-loader 1.26.1-1
lib32-aalib 1.4rc5-5
lib32-acl 2.3.2-1
lib32-alsa-lib 1.2.15.1-1
lib32-alsa-plugins 1.2.12-1
lib32-audit 4.1.2-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-4
lib32-cairo 1.18.4-1
lib32-cdparanoia 10.2-5
lib32-curl 8.18.0-3
lib32-dbus 1.16.2-1
lib32-duktape 2.7.0-7
lib32-e2fsprogs 1.47.3-2
lib32-expat 2.7.3-1
lib32-flac 1.5.0-1
lib32-fontconfig 2:2.17.1-1
lib32-freetype2 2.14.1-1
lib32-fribidi 1.0.16-2
lib32-gcc-libs 15.2.1+r301+gf24307422d1d-1
lib32-gdk-pixbuf2 2.44.4-1
lib32-gettext 0.26-1
lib32-giflib 5.2.2-1
lib32-glib-networking 1:2.80.1-1
lib32-glib2 2.86.3-1
lib32-glibc 2.42+r33+gde1fe81f4714-1
lib32-gmp 6.3.0-2
lib32-gnutls 3.8.11-1
lib32-gpm 1.20.7.r38.ge82d1a6-2
lib32-gst-plugins-base 1.26.10-1
lib32-gst-plugins-base-libs 1.26.10-1
lib32-gst-plugins-good 1.26.10-1
lib32-gstreamer 1.26.10-1
lib32-harfbuzz 12.3.0-1
lib32-icu 78.1-2
lib32-imlib2 1.12.6-1
lib32-json-c 0.18-2
lib32-keyutils 1.6.3-2
lib32-krb5 1.21.3-1
lib32-libasyncns 1:0.8+r3+g68cd5af-3
lib32-libavc1394 0.5.4-5
lib32-libcaca 0.99.beta20-2
lib32-libcap 2.77-1
lib32-libdatrie 0.2.13-3
lib32-libdisplay-info 0.3.0-1
lib32-libdrm 2.4.128-1
lib32-libdv 1.0.0-9
lib32-libelf 0.194-1
lib32-libffi 3.5.2-1
lib32-libgcrypt 1.11.2-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.58-1
lib32-libgudev 238-3
lib32-libidn2 2.3.8-1
lib32-libiec61883 1.2.0-5
lib32-libjpeg-turbo 3.1.2-1
lib32-libjpeg6-turbo 1.5.3-4
lib32-libldap 2.6.10-1
lib32-libnghttp2 1.68.0-1
lib32-libnghttp3 1.14.0-1
lib32-libngtcp2 1.19.0-3
lib32-libnl 3.12.0-1
lib32-libnm 1.54.3-1
lib32-libnsl 2.0.1-1
lib32-libogg 1.3.6-1
lib32-libpcap 1.10.5-3
lib32-libpciaccess 0.18.1-1
lib32-libpipewire 1:1.4.9-1
lib32-libpng 1.6.53-1
lib32-libproxy 0.5.12-1
lib32-libpsl 0.21.5-1
lib32-libpulse 17.0+r98+gb096704c0-1
lib32-libraw1394 2.1.2-5
lib32-libshout 1:2.4.6-4
lib32-libsndfile 1.2.2-3
lib32-libsoup3 3.6.5-1
lib32-libssh2 1.11.1-1
lib32-libtasn1 4.20.0-1
lib32-libthai 0.1.29-3
lib32-libtheora 1.2.0-1
lib32-libtiff 4.7.1-1
lib32-libtirpc 1.3.7-1
